date,screentime,activitytime,readingtime,hscore
2023-12-19,2.5,0.1,4.8,66.0
2023-01-07,3.1,4.6,1.8,99.0
2023-05-09,3.7,4.0,1.8,100
2023-04-04,4.6,1.9,2.0,98.0
2023-09-14,2.2,2.3,0.7,69.0
2023-11-10,4.3,2.2,1.1,79.0
2023-03-24,3.3,1.0,4.5,99.0
2023-08-28,3.6,1.4,3.6,100
2023-05-11,1.6,1.2,1.8,100
2023-02-04,3.0,1.8,3.9,98.0
2023-05-02,0.5,3.5,0.6,95.0
2023-09-11,4.5,1.9,2.6,99.0
2023-04-25,3.9,4.6,4.1,99.0
2023-07-20,2.5,4.6,3.0,99.0
2023-03-15,4.4,4.6,1.6,95.0
2023-02-18,2.0,1.3,1.1,81.0
2023-07-19,1.4,2.6,2.5,100
2023-08-20,1.6,0.0,3.8,59.0
2023-10-04,1.3,1.8,4.0,100
2023-06-18,2.0,0.2,0.7,51.0
2023-06-07,2.9,3.0,2.0,100
2023-07-26,1.4,4.7,4.8,100
2023-07-16,2.3,0.2,2.2,81.0
2023-09-23,3.7,3.8,4.8,99.0
2023-07-28,1.3,0.7,0.5,76.0
2023-11-07,4.5,2.7,4.8,100
2023-06-13,4.2,3.3,2.6,99.0
2023-07-11,3.1,3.0,4.7,99.0
2023-02-07,0.4,3.4,0.3,91.0
2023-11-08,4.2,3.2,4.4,99.0
2023-06-11,0.4,0.5,4.4,100
2023-06-17,2.5,3.4,2.7,99.0
2023-11-19,3.1,0.6,2.5,100
2023-06-06,3.6,0.6,0.4,60.0
2023-06-05,4.7,4.5,0.5,65.0
2023-06-18,0.6,0.7,1.6,100
2023-07-06,0.3,3.2,3.3,100
2023-06-15,4.3,4.1,3.9,100
2023-10-08,0.2,0.7,4.0,100
2023-11-25,3.1,1.0,2.7,100
2023-06-22,3.0,1.8,2.3,99.0
2023-07-16,2.8,2.3,4.5,99.0
2023-03-28,3.1,1.8,3.7,100
2023-04-21,3.8,3.4,3.2,100
2023-12-11,4.6,2.1,0.0,49.0
2023-05-23,2.4,1.4,3.1,100
2023-10-09,2.4,4.2,3.6,100
2023-08-06,4.3,0.9,2.9,100
2023-01-14,2.3,4.6,4.3,98.0
2023-07-24,3.4,2.1,0.6,68.0
2023-04-15,3.8,4.8,0.9,76.0
2023-03-28,0.9,1.7,2.2,100
2023-08-17,0.4,3.2,4.3,100
2023-08-23,0.3,1.8,3.1,100
2023-07-15,2.0,1.0,1.7,96.0
2023-12-07,1.8,2.4,3.1,100
2023-02-22,3.3,2.9,1.8,99.0
2023-05-24,3.3,1.1,1.0,75.0
2023-04-09,2.0,2.8,2.7,100
2023-07-13,0.1,3.3,3.9,100
2023-02-02,0.2,4.9,1.9,100
2023-02-21,0.5,3.9,0.2,83.0
2023-12-10,1.5,3.1,4.3,100
2023-01-14,2.3,3.5,3.7,100
2023-05-05,3.0,0.6,2.7,100
2023-03-18,3.4,0.1,2.4,66.0
2023-08-02,2.9,0.1,3.9,66.0
2023-05-25,2.6,0.5,4.7,98.0
2023-02-01,4.7,0.7,1.7,99.0
2023-03-16,4.9,0.6,4.2,99.0
2023-09-10,3.4,0.5,4.9,99.0
2023-11-24,0.4,0.2,0.1,67.0
2023-02-05,4.9,2.1,5.0,100
2023-06-20,3.1,3.9,4.1,99.0
2023-12-23,0.4,4.7,4.1,100
2023-09-21,1.5,3.0,2.4,100
2023-03-17,0.8,2.6,4.1,100
2023-06-12,4.2,2.4,3.3,100
2023-04-22,2.4,1.5,1.7,96.0
2023-11-28,4.9,4.5,1.5,93.0
2023-04-07,2.9,1.5,1.9,99.0
2023-02-14,1.7,2.5,1.2,89.0
2023-09-18,2.6,4.9,1.0,76.0
2023-11-08,0.9,4.0,2.2,100
2023-09-18,0.5,4.9,0.1,82.0
2023-09-27,4.4,2.5,1.5,89.0
2023-11-27,2.9,0.2,3.6,84.0
2023-09-23,3.2,3.3,1.1,80.0
2023-04-27,2.6,0.6,4.8,100
2023-12-05,2.5,4.1,3.0,98.0
2023-01-01,0.4,4.5,4.8,100
2023-11-12,1.8,2.7,0.4,64.0
2023-04-01,0.7,0.5,4.7,100
2023-01-04,3.8,2.3,3.1,100
2023-07-27,1.2,4.3,4.3,100
2023-02-07,3.2,4.9,0.8,71.0
2023-07-19,4.6,4.3,2.8,100
2023-11-14,1.2,0.3,2.0,100
2023-10-15,0.3,0.1,3.3,99.0
2023-04-22,3.7,4.1,4.6,98.0
2023-11-06,3.2,3.6,0.6,67.0
2023-06-14,1.1,1.3,4.4,100
2023-06-19,3.9,2.0,2.8,100
2023-11-25,4.9,3.9,3.1,100
2023-12-07,0.4,1.8,4.9,100
2023-08-16,1.9,1.7,4.7,100
2023-07-16,2.2,1.5,4.1,99.0
2023-12-05,2.0,0.7,0.8,74.0
2023-08-08,1.9,1.0,1.9,100
2023-08-27,0.4,1.1,2.1,100
2023-10-21,4.2,2.8,3.2,100
2023-07-21,2.2,4.8,1.6,93.0
2023-04-12,2.9,2.3,2.6,100
2023-06-02,2.6,2.7,4.0,100
2023-03-23,3.1,4.0,4.4,99.0
2023-11-21,3.7,0.3,2.6,99.0
2023-01-19,1.5,3.6,2.1,100
2023-08-12,4.2,1.9,2.5,100
2023-01-05,3.4,1.4,0.8,72.0
2023-05-20,0.0,3.3,1.2,100
2023-11-16,2.7,3.5,2.5,100
2023-03-25,0.9,3.0,4.9,100
2023-10-02,1.0,1.0,4.0,100
2023-03-09,0.3,0.9,0.9,100
2023-03-16,2.8,2.5,3.9,98.0
2023-05-01,4.1,0.3,3.2,98.0
2023-04-03,1.7,2.5,1.5,97.0
2023-06-15,3.2,3.0,1.3,84.0
2023-07-05,3.7,0.3,4.9,100
2023-09-06,4.7,3.2,2.1,99.0
2023-05-22,0.8,3.6,1.6,100
2023-08-04,2.4,4.3,3.4,100
2023-02-28,1.7,0.0,4.3,54.0
2023-09-20,0.7,4.9,4.4,100
2023-06-04,3.1,3.0,3.5,100
2023-10-26,1.7,1.9,1.1,87.0
2023-10-23,1.3,4.4,1.7,100
2023-02-14,3.7,2.6,1.9,98.0
2023-12-03,0.6,3.5,3.8,100
2023-07-16,1.0,1.7,1.4,100
2023-01-11,1.5,0.1,0.1,27.0
2023-04-06,1.1,2.0,3.7,100
2023-09-01,2.6,3.5,1.7,96.0
2023-11-21,4.1,3.7,4.1,100
2023-12-11,3.7,1.6,4.2,99.0
2023-10-23,3.1,1.3,3.0,99.0
2023-08-15,1.9,2.1,0.9,79.0
2023-04-14,0.3,2.5,0.9,100
2023-10-03,0.4,0.1,4.2,99.0
2023-10-09,1.7,2.4,0.7,75.0
2023-10-22,1.3,4.3,1.9,100
2023-03-21,3.5,2.9,0.8,72.0
2023-08-28,0.3,0.8,4.9,100
2023-09-10,0.6,0.9,2.3,100
2023-07-16,1.1,2.3,1.3,100
2023-05-03,0.8,3.0,0.3,83.0
2023-02-07,4.3,4.0,2.5,98.0
2023-12-06,2.5,1.7,0.2,55.0
2023-07-16,3.5,1.5,3.0,100
2023-06-01,4.8,4.1,4.9,98.0
2023-11-12,4.8,3.3,1.5,91.0
2023-01-09,3.2,2.4,1.5,92.0
2023-11-14,2.9,2.1,0.8,70.0
2023-05-18,1.5,4.4,3.5,100
2023-07-19,1.5,2.4,0.5,73.0
2023-08-16,2.0,1.1,0.2,57.0
2023-09-21,4.6,1.9,2.9,100
2023-03-28,1.0,4.1,1.7,100
2023-07-01,2.4,2.4,3.5,100
2023-07-27,4.6,3.3,2.1,99.0
2023-03-09,2.9,0.9,0.6,65.0
2023-02-27,2.7,1.0,0.5,64.0
2023-04-14,4.6,4.5,3.6,100
2023-10-22,3.6,0.5,2.2,100
2023-12-11,2.1,1.4,3.0,98.0
2023-01-23,1.5,1.0,1.1,89.0
2023-05-21,3.8,4.1,4.8,100
2023-08-07,3.0,0.4,2.3,100
2023-06-02,4.2,4.8,4.1,100
2023-09-05,0.9,0.4,1.4,100
2023-02-14,0.2,1.8,2.7,100
2023-06-02,0.5,4.0,2.3,100
2023-10-25,1.1,3.2,1.6,100
2023-02-07,0.6,3.4,4.5,100
2023-10-12,0.5,4.3,3.4,100
2023-11-10,3.7,1.4,0.3,56.0
2023-06-13,1.9,3.2,0.2,56.0
2023-09-23,1.2,3.1,4.6,100
2023-11-18,4.3,1.7,0.4,62.0
2023-01-08,0.4,1.3,3.4,100
2023-06-23,3.1,1.9,1.8,100
2023-10-14,3.1,1.5,4.7,99.0
2023-07-19,0.2,1.8,0.9,100
2023-04-18,2.0,1.1,1.7,99.0
2023-02-17,2.0,2.2,2.9,98.0
2023-04-18,1.1,0.6,0.3,77.0
2023-05-22,0.1,2.3,0.8,100
2023-06-09,4.9,3.8,0.8,71.0
2023-03-25,0.0,1.0,3.3,100
2023-05-03,1.7,1.3,4.2,100
2023-03-18,3.2,1.7,3.3,99.0
2023-10-24,4.5,1.9,0.5,62.0
2023-05-20,4.6,4.5,2.5,100
2023-12-05,4.1,1.6,0.0,48.0
2023-05-12,3.9,1.3,0.2,56.0
2023-04-26,2.8,1.8,3.2,100
2023-05-16,0.1,4.6,1.8,100
2023-04-07,3.6,4.2,4.6,100
2023-06-22,3.9,4.6,0.7,69.0
2023-04-26,2.8,4.3,1.5,91.0
2023-04-17,0.1,1.1,4.6,100
2023-09-26,1.8,4.6,3.9,100
2023-05-19,0.1,4.1,3.7,100
2023-05-07,0.1,4.1,1.7,100
2023-05-05,3.1,3.7,0.7,67.0
2023-08-08,2.7,4.6,3.6,98.0
2023-01-15,2.2,1.5,3.5,100
2023-02-25,2.3,3.2,2.5,100
2023-11-22,1.7,2.2,4.9,100
2023-12-23,0.1,4.3,4.4,100
2023-03-18,2.9,0.8,4.0,100
2023-05-01,3.8,1.5,0.2,55.0
2023-07-18,3.4,4.4,0.9,75.0
2023-09-09,2.8,1.8,1.8,100
2023-08-24,0.4,4.0,1.3,100
2023-04-07,0.3,2.8,2.2,100
2023-04-05,1.3,4.2,2.7,100
2023-05-25,3.4,3.6,3.7,100
2023-03-18,2.4,5.0,1.5,90.0
2023-08-11,3.3,4.7,1.6,94.0
2023-10-13,0.9,4.7,4.9,100
2023-07-02,3.6,2.1,3.0,100
2023-11-23,3.8,1.1,2.6,100
2023-04-12,2.8,4.3,4.9,100
2023-06-14,2.4,0.3,0.0,52.0
2023-07-28,1.1,4.8,4.2,100
2023-01-12,3.7,4.8,2.8,100
2023-10-28,1.5,3.1,2.7,100
2023-09-20,0.2,4.7,3.7,100
2023-06-14,4.3,4.9,1.1,81.0
2023-04-09,0.1,3.7,0.8,100
2023-09-28,4.4,1.5,2.3,100
2023-03-26,4.9,0.8,0.1,53.0
2023-10-23,3.4,1.5,1.9,99.0
2023-10-18,4.6,0.1,3.0,64.0
2023-08-07,3.3,1.3,0.0,48.0
2023-07-20,1.3,2.8,0.2,68.0
2023-07-04,0.1,3.4,1.2,100
2023-08-16,3.9,2.1,1.9,100
2023-06-25,4.3,0.5,2.7,100
2023-09-21,2.7,3.1,4.4,99.0
2023-04-05,3.4,0.6,3.2,98.0
2023-10-24,4.6,4.0,3.4,100
2023-12-28,4.5,1.7,4.1,100
2023-04-01,0.6,0.4,4.9,100
2023-03-13,2.0,3.2,4.8,99.0
2023-04-11,2.2,4.9,1.0,78.0
2023-08-24,3.4,4.5,3.3,99.0
2023-05-25,3.5,1.2,4.6,100
2023-07-05,3.4,0.9,0.1,52.0
2023-07-10,3.0,3.9,3.8,99.0
2023-01-21,4.8,1.3,2.9,100
2023-12-26,0.8,1.4,2.9,100
2023-02-05,4.6,1.4,0.0,52.0
2023-08-04,1.8,1.7,2.7,100
2023-08-25,4.3,1.6,3.3,98.0
2023-11-16,4.3,2.6,3.0,99.0
2023-10-07,3.7,0.2,4.6,82.0
2023-08-20,1.5,3.2,1.2,92.0
2023-12-04,3.1,2.8,3.1,100
2023-07-14,0.7,4.0,3.9,100
2023-02-09,4.2,4.8,4.6,100
2023-02-17,2.1,1.7,1.7,97.0
2023-07-28,2.7,0.5,1.9,100
2023-03-04,0.4,0.8,1.0,100
2023-06-06,4.2,4.6,2.6,98.0
2023-03-26,4.4,4.8,1.5,93.0
2023-07-08,0.3,1.7,0.1,86.0
2023-04-06,0.1,4.3,4.9,100
2023-09-01,0.6,4.2,4.8,100
2023-09-16,4.0,3.8,3.0,98.0
2023-08-13,4.0,4.1,3.8,98.0
2023-07-23,2.7,4.7,0.3,59.0
2023-05-11,2.2,0.3,0.8,71.0
2023-10-09,2.7,0.6,1.2,81.0
2023-09-15,2.9,0.2,4.0,82.0
2023-01-04,4.8,3.5,3.9,98.0
2023-04-11,2.4,0.3,1.7,95.0
2023-05-06,2.2,2.2,1.2,83.0
2023-09-04,3.3,0.2,2.4,83.0
2023-03-26,2.9,3.9,1.5,91.0
2023-06-19,1.3,4.4,3.4,100
2023-03-24,0.8,3.0,2.2,100
2023-04-27,2.0,3.5,3.3,98.0
2023-08-03,4.3,4.1,3.2,100
2023-02-17,1.7,4.5,2.2,100
2023-04-14,4.8,4.4,1.2,83.0
2023-11-08,0.8,1.5,2.5,100
2023-08-02,2.7,0.6,2.0,99.0
2023-08-24,2.9,2.4,1.8,100
2023-02-11,2.2,0.2,3.7,85.0
2023-11-25,0.5,4.6,3.5,100
2023-06-20,3.4,2.3,1.0,77.0
2023-07-20,2.6,4.1,1.5,92.0
2023-05-04,0.2,2.4,2.8,100
2023-10-02,0.6,0.7,4.7,100
2023-07-07,1.4,3.9,2.4,100
2023-11-23,4.2,4.2,1.4,88.0
2023-05-15,3.1,3.6,3.5,100
2023-03-06,3.7,1.0,1.9,100
2023-11-06,0.4,3.1,3.8,100
2023-07-27,1.4,3.8,2.3,100
2023-05-23,0.6,0.9,2.2,100
2023-10-03,3.7,3.3,1.9,100
2023-11-22,4.7,3.6,3.7,99.0
2023-09-12,1.4,1.6,0.2,68.0
2023-11-10,2.9,4.9,3.3,100
2023-05-19,3.1,4.1,1.5,90.0
2023-11-02,4.2,2.7,1.0,77.0
2023-06-05,1.9,1.7,2.3,100
2023-07-27,0.2,2.0,0.1,88.0
2023-08-27,3.5,1.6,0.2,55.0
2023-05-08,3.4,1.1,0.2,55.0
2023-02-03,3.5,3.0,1.8,99.0
2023-01-10,0.4,1.7,1.4,100
2023-02-15,4.1,3.8,2.3,100
2023-06-03,0.3,4.5,4.7,100
2023-07-26,2.8,4.8,3.2,100
2023-01-15,3.9,2.6,1.3,86.0
2023-10-17,4.8,2.2,4.1,99.0
